Stats	Level	HP	Attack	Defense	Sp. Attack	Sp. Defense	Speed
Max StatsNeutral Nature	Lv. 100	270 - 364	205 - 299	405 - 499	105 - 199	205 - 299	105 - 199
Max StatsBeneficial Nature	Lv. 100	270 - 364	225 - 328	445 - 548	115 - 218	225 - 328	115 - 218
Base Stats - Total: 580	Base Stats - Total: 580	80	50	100	100	200	50
Max StatsHindering Nature	Lv. 100	270 - 364	94 - 179	184 - 269	184 - 269	364 - 449	94 - 179
Max StatsNeutral Nature	Lv. 100	270 - 364	105 - 199	205 - 299	205 - 299	405 - 499	105 - 199
Max StatsBeneficial Nature	Lv. 100	270 - 364	115 - 218	225 - 328	225 - 328	445 - 548	115 - 218
Base Stats - Total: 580	Base Stats - Total: 580	80	75	150	75	150	50
Max StatsHindering Nature	Lv. 100	270 - 364	139 - 224	274 - 359	139 - 224	274 - 359	94 - 179
Max StatsNeutral Nature	Lv. 100	270 - 364	155 - 249	305 - 399	155 - 249	305 - 399	105 - 199
Max StatsBeneficial Nature	Lv. 100	270 - 364	170 - 273	335 - 438	170 - 273	335 - 438	115 - 218
Base Stats - Total: 600	Base Stats - Total: 600	80	80	90	110	130	110
Max StatsHindering Nature	Lv. 100	270 - 364	148 - 233	166 - 251	202 - 287	238 - 323	202 - 287
Max StatsNeutral Nature	Lv. 100	270 - 364	165 - 259	185 - 279	225 - 319	265 - 359	225 - 319
Max StatsBeneficial Nature	Lv. 100	270 - 364	181 - 284	203 - 306	247 - 350	291 - 394	247 - 350
Base Stats - Total: 600	Base Stats - Total: 600	80	90	80	130	110	110
Max StatsHindering Nature	Lv. 100	270 - 364	166 - 251	148 - 233	238 - 323	202 - 287	202 - 287
Max StatsNeutral Nature	Lv. 100	270 - 364	185 - 279	165 - 259	265 - 359	225 - 319	225 - 319
Max StatsBeneficial Nature	Lv. 100	270 - 364	203 - 306	181 - 284	291 - 394	247 - 350	247 - 350
Base Stats - Total: 670	Base Stats - Total: 670	100	100	90	150	140	90
Max StatsHindering Nature	Lv. 100	310 - 404	184 - 269	166 - 251	274 - 359	256 - 341	166 - 251
Max StatsNeutral Nature	Lv. 100	310 - 404	205 - 299	185 - 279	305 - 399	285 - 379	185 - 279
Max StatsBeneficial Nature	Lv. 100	310 - 404	225 - 328	203 - 306	335 - 438	313 - 416	203 - 306
Base Stats - Total: 670	Base Stats - Total: 670	100	150	140	100	90	90
Max StatsHindering Nature	Lv. 100	310 - 404	274 - 359	256 - 341	184 - 269	166 - 251	166 - 251
Max StatsNeutral Nature	Lv. 100	310 - 404	305 - 399	285 - 379	205 - 299	185 - 279	185 - 279
Max StatsBeneficial Nature	Lv. 100	310 - 404	335 - 438	313 - 416	225 - 328	203 - 306	203 - 306
Base Stats - Total: 680	Base Stats - Total: 680	105	150	90	150	90	95
Max StatsHindering Nature	Lv. 100	320 - 414	274 - 359	166 - 251	274 - 359	166 - 251	175 - 260
Max StatsNeutral Nature	Lv. 100	320 - 414	305 - 399	185 - 279	305 - 399	185 - 279	195 - 289
Max StatsBeneficial Nature	Lv. 100	320 - 414	335 - 438	203 - 306	335 - 438	203 - 306	214 - 317
Base Stats - Total: 600	Base Stats - Total: 600	100	100	100	100	100	100
Max StatsHindering Nature	Lv. 100	310 - 404	184 - 269	184 - 269	184 - 269	184 - 269	184 - 269
Max StatsNeutral Nature	Lv. 100	310 - 404	205 - 299	205 - 299	205 - 299	205 - 299	205 - 299
Max StatsBeneficial Nature	Lv. 100	310 - 404	225 - 328	225 - 328	225 - 328	225 - 328	225 - 328
Base Stats - Total: 600	Base Stats - Total: 600	50	150	50	150	50	150
Max StatsHindering Nature	Lv. 100	210 - 304	274 - 359	94 - 179	274 - 359	94 - 179	274 - 359
Max StatsNeutral Nature	Lv. 100	210 - 304	305 - 399	105 - 199	305 - 399	105 - 199	305 - 399
Max StatsBeneficial Nature	Lv. 100	210 - 304	335 - 438	115 - 218	335 - 438	115 - 218	335 - 438
Base Stats - Total: 318	Base Stats - Total: 318	55	68	64	45	55	31
Max StatsHindering Nature	Lv. 100	220 - 314	126 - 211	119 - 204	85 - 170	103 - 188	60 - 144
Max StatsNeutral Nature	Lv. 100	220 - 314	141 - 235	133 - 227	95 - 189	115 - 209	67 - 161
Max StatsBeneficial Nature	Lv. 100	220 - 314	155 - 258	146 - 249	104 - 207	126 - 229	73 - 177
Base Stats - Total: 405	Base Stats - Total: 405	75	89	85	55	65	36
Max StatsHindering Nature	Lv. 100	260 - 354	164 - 249	157 - 242	103 - 188	121 - 206	69 - 153
Max StatsNeutral Nature	Lv. 100	260 - 354	183 - 277	175 - 269	115 - 209	135 - 229	77 - 171
Max StatsBeneficial Nature	Lv. 100	260 - 354	201 - 304	192 - 295	126 - 229	148 - 251	84 - 188
Base Stats - Total: 525	Base Stats - Total: 525	95	109	105	75	85	56
Max StatsHindering Nature	Lv. 100	300 - 394	200 - 285	193 - 278	139 - 224	157 - 242	105 - 189
Max StatsNeutral Nature	Lv. 100	300 - 394	223 - 317	215 - 309	155 - 249	175 - 269	117 - 211
Max StatsBeneficial Nature	Lv. 100	300 - 394	245 - 348	236 - 339	170 - 273	192 - 295	128 - 232
Base Stats - Total: 309	Base Stats - Total: 309	44	58	44	58	44	61
Max StatsHindering Nature	Lv. 100	198 - 292	108 - 193	83 - 168	108 - 193	83 - 168	114 - 198
Max StatsNeutral Nature	Lv. 100	198 - 292	121 - 215	93 - 187	121 - 215	93 - 187	127 - 221
Max StatsBeneficial Nature	Lv. 100	198 - 292	133 - 236	102 - 205	133 - 236	102 - 205	139 - 243
Base Stats - Total: 405	Base Stats - Total: 405	64	78	52	78	52	81
Max StatsHindering Nature	Lv. 100	238 - 332	144 - 229	98 - 182	144 - 229	98 - 182	150 - 234
Max StatsNeutral Nature	Lv. 100	238 - 332	161 - 255	109 - 203	161 - 255	109 - 203	167 - 261
Max StatsBeneficial Nature	Lv. 100	238 - 332	177 - 280	119 - 223	177 - 280	119 - 223	183 - 287
Base Stats - Total: 534	Base Stats - Total: 534	76	104	71	104	71	108
Max StatsHindering Nature	Lv. 100	262 - 356	191 - 276	132 - 216	191 - 276	132 - 216	198 - 283
Max StatsNeutral Nature	Lv. 100	262 - 356	213 - 307	147 - 241	213 - 307	147 - 241	221 - 315
Max StatsBeneficial Nature	Lv. 100	262 - 356	234 - 337	161 - 265	234 - 337	161 - 265	243 - 346
Base Stats - Total: 314	Base Stats - Total: 314	53	51	53	61	56	40
Max StatsHindering Nature	Lv. 100	216 - 310	96 - 180	99 - 184	114 - 198	105 - 189	76 - 161
Max StatsNeutral Nature	Lv. 100	216 - 310	107 - 201	111 - 205	127 - 221	117 - 211	85 - 179
Max StatsBeneficial Nature	Lv. 100	216 - 310	117 - 221	122 - 225	139 - 243	128 - 232	93 - 196
Base Stats - Total: 405	Base Stats - Total: 405	64	66	68	81	76	50
Max StatsHindering Nature	Lv. 100	238 - 332	123 - 207	126 - 211	150 - 234	141 - 225	94 - 179
Max StatsNeutral Nature	Lv. 100	238 - 332	137 - 231	141 - 235	167 - 261	157 - 251	105 - 199
Max StatsBeneficial Nature	Lv. 100	238 - 332	150 - 254	155 - 258	183 - 287	172 - 276	115 - 218
Base Stats - Total: 530	Base Stats - Total: 530	84	86	88	111	101	60
Max StatsHindering Nature	Lv. 100	278 - 372	159 - 243	162 - 247	204 - 288	186 - 270	112 - 197
Max StatsNeutral Nature	Lv. 100	278 - 372	177 - 271	181 - 275	227 - 321	207 - 301	125 - 219
Max StatsBeneficial Nature	Lv. 100	278 - 372	194 - 298	199 - 302	249 - 353	227 - 331	137 - 240
Base Stats - Total: 245	Base Stats - Total: 245	40	55	30	30	30	60
Max StatsHindering Nature	Lv. 100	190 - 284	103 - 188	58 - 143	58 - 143	58 - 143	112 - 197
Max StatsNeutral Nature	Lv. 100	190 - 284	115 - 209	65 - 159	65 - 159	65 - 159	125 - 219
Max StatsBeneficial Nature	Lv. 100	190 - 284	126 - 229	71 - 174	71 - 174	71 - 174	137 - 240
Base Stats - Total: 340	Base Stats - Total: 340	55	75	50	40	40	80
Max StatsHindering Nature	Lv. 100	220 - 314	139 - 224	94 - 179	76 - 161	76 - 161	148 - 233
Max StatsNeutral Nature	Lv. 100	220 - 314	155 - 249	105 - 199	85 - 179	85 - 179	165 - 259
Max StatsBeneficial Nature	Lv. 100	220 - 314	170 - 273	115 - 218	93 - 196	93 - 196	181 - 284
Base Stats - Total: 485	Base Stats - Total: 485	85	120	70	50	60	100
Max StatsHindering Nature	Lv. 100	280 - 374	220 - 305	130 - 215	94 - 179	112 - 197	184 - 269
Max StatsNeutral Nature	Lv. 100	280 - 374	245 - 339	145 - 239	105 - 199	125 - 219	205 - 299
Max StatsBeneficial Nature	Lv. 100	280 - 374	269 - 372	159 - 262	115 - 218	137 - 240	225 - 328
Base Stats - Total: 250	Base Stats - Total: 250	59	45	40	35	40	31
Max StatsHindering Nature	Lv. 100	228 - 322	85 - 170	76 - 161	67 - 152	76 - 161	60 - 144
Max StatsNeutral Nature	Lv. 100	228 - 322	95 - 189	85 - 179	75 - 169	85 - 179	67 - 161
Max StatsBeneficial Nature	Lv. 100	228 - 322	104 - 207	93 - 196	82 - 185	93 - 196	73 - 177
Base Stats - Total: 410	Base Stats - Total: 410	79	85	60	55	60	71
Max StatsHindering Nature	Lv. 100	268 - 362	157 - 242	112 - 197	103 - 188	112 - 197	132 - 216
Max StatsNeutral Nature	Lv. 100	268 - 362	175 - 269	125 - 219	115 - 209	125 - 219	147 - 241
Max StatsBeneficial Nature	Lv. 100	268 - 362	192 - 295	137 - 240	126 - 229	137 - 240	161 - 265
Base Stats - Total: 194	Base Stats - Total: 194	37	25	41	25	41	25
Max StatsHindering Nature	Lv. 100	184 - 278	49 - 134	78 - 162	49 - 134	78 - 162	49 - 134
Max StatsNeutral Nature	Lv. 100	184 - 278	55 - 149	87 - 181	55 - 149	87 - 181	55 - 149
Max StatsBeneficial Nature	Lv. 100	184 - 278	60 - 163	95 - 199	60 - 163	95 - 199	60 - 163
Base Stats - Total: 384	Base Stats - Total: 384	77	85	51	55	51	65
Max StatsHindering Nature	Lv. 100	264 - 358	157 - 242	96 - 180	103 - 188	96 - 180	121 - 206
Max StatsNeutral Nature	Lv. 100	264 - 358	175 - 269	107 - 201	115 - 209	107 - 201	135 - 229
Max StatsBeneficial Nature	Lv. 100	264 - 358	192 - 295	117 - 221	126 - 229	117 - 221	148 - 251
Base Stats - Total: 263	Base Stats - Total: 263	45	65	34	40	34	45
Max StatsHindering Nature	Lv. 100	200 - 294	121 - 206	65 - 150	76 - 161	65 - 150	85 - 170
Max StatsNeutral Nature	Lv. 100	200 - 294	135 - 229	73 - 167	85 - 179	73 - 167	95 - 189
Max StatsBeneficial Nature	Lv. 100	200 - 294	148 - 251	80 - 183	93 - 196	80 - 183	104 - 207
Base Stats - Total: 363	Base Stats - Total: 363	60	85	49	60	49	60
Max StatsHindering Nature	Lv. 100	230 - 324	157 - 242	92 - 177	112 - 197	92 - 177	112 - 197
Max StatsNeutral Nature	Lv. 100	230 - 324	175 - 269	103 - 197	125 - 219	103 - 197	125 - 219
Max StatsBeneficial Nature	Lv. 100	230 - 324	192 - 295	113 - 216	137 - 240	113 - 216	137 - 240
Base Stats - Total: 523	Base Stats - Total: 523	80	120	79	95	79	70
Max StatsHindering Nature	Lv. 100	270 - 364	220 - 305	146 - 231	175 - 260	146 - 231	130 - 215
Max StatsNeutral Nature	Lv. 100	270 - 364	245 - 339	163 - 257	195 - 289	163 - 257	145 - 239
Max StatsBeneficial Nature	Lv. 100	270 - 364	269 - 372	179 - 282	214 - 317	179 - 282	159 - 262
Base Stats - Total: 280	Base Stats - Total: 280	40	30	35	50	70	55
Max StatsHindering Nature	Lv. 100	190 - 284	58 - 143	67 - 152	94 - 179	130 - 215	103 - 188
Max StatsNeutral Nature	Lv. 100	190 - 284	65 - 159	75 - 169	105 - 199	145 - 239	115 - 209
Max StatsBeneficial Nature	Lv. 100	190 - 284	71 - 174	82 - 185	115 - 218	159 - 262	126 - 229
Base Stats - Total: 515	Base Stats - Total: 515	60	70	65	125	105	90
Max StatsHindering Nature	Lv. 100	230 - 324	130 - 215	121 - 206	229 - 314	193 - 278	166 - 251
Max StatsNeutral Nature	Lv. 100	230 - 324	145 - 239	135 - 229	255 - 349	215 - 309	185 - 279
Max StatsBeneficial Nature	Lv. 100	230 - 324	159 - 262	148 - 251	280 - 383	236 - 339	203 - 306
Base Stats - Total: 350	Base Stats - Total: 350	67	125	40	30	30	58
Max StatsHindering Nature	Lv. 100	244 - 338	229 - 314	76 - 161	58 - 143	58 - 143	108 - 193
Max StatsNeutral Nature	Lv. 100	244 - 338	255 - 349	85 - 179	65 - 159	65 - 159	121 - 215
Max StatsBeneficial Nature	Lv. 100	244 - 338	280 - 383	93 - 196	71 - 174	71 - 174	133 - 236
Base Stats - Total: 495	Base Stats - Total: 495	97	165	60	65	50	58
Max StatsHindering Nature	Lv. 100	304 - 398	301 - 386	112 - 197	121 - 206	94 - 179	108 - 193
Max StatsNeutral Nature	Lv. 100	304 - 398	335 - 429	125 - 219	135 - 229	105 - 199	121 - 215
Max StatsBeneficial Nature	Lv. 100	304 - 398	368 - 471	137 - 240	148 - 251	115 - 218	133 - 236
Base Stats - Total: 350	Base Stats - Total: 350	30	42	118	42	88	30
Max StatsHindering Nature	Lv. 100	170 - 264	80 - 164	216 - 301	80 - 164	162 - 247	58 - 143
Max StatsNeutral Nature	Lv. 100	170 - 264	89 - 183	241 - 335	89 - 183	181 - 275	65 - 159
Max StatsBeneficial Nature	Lv. 100	170 - 264	97 - 201	265 - 368	97 - 201	199 - 302	71 - 174
Base Stats - Total: 495	Base Stats - Total: 495	60	52	168	47	138	30
Max StatsHindering Nature	Lv. 100	230 - 324	98 - 182	306 - 391	89 - 173	252 - 337	58 - 143
Max StatsNeutral Nature	Lv. 100	230 - 324	109 - 203	341 - 435	99 - 193	281 - 375	65 - 159
Max StatsBeneficial Nature	Lv. 100	230 - 324	119 - 223	375 - 478	108 - 212	309 - 412	71 - 174
Base Stats - Total: 224	Base Stats - Total: 224	40	29	45	29	45	36
Max StatsHindering Nature	Lv. 100	190 - 284	56 - 141	85 - 170	56 - 141	85 - 170	69 - 153
Max StatsNeutral Nature	Lv. 100	190 - 284	63 - 157	95 - 189	63 - 157	95 - 189	77 - 171
Max StatsBeneficial Nature	Lv. 100	190 - 284	69 - 172	104 - 207	69 - 172	104 - 207	84 - 188
Base Stats - Total: 424	Base Stats - Total: 424	60	59	85	79	105	36
Max StatsHindering Nature	Lv. 100	230 - 324	110 - 195	157 - 242	146 - 231	193 - 278	69 - 153
Max StatsNeutral Nature	Lv. 100	230 - 324	123 - 217	175 - 269	163 - 257	215 - 309	77 - 171
Max StatsBeneficial Nature	Lv. 100	230 - 324	135 - 238	192 - 295	179 - 282	236 - 339	84 - 188
Base Stats - Total: 424	Base Stats - Total: 424	70	94	50	94	50	66
Max StatsHindering Nature	Lv. 100	250 - 344	173 - 258	94 - 179	173 - 258	94 - 179	123 - 207
Max StatsNeutral Nature	Lv. 100	250 - 344	193 - 287	105 - 199	193 - 287	105 - 199	137 - 231
Max StatsBeneficial Nature	Lv. 100	250 - 344	212 - 315	115 - 218	212 - 315	115 - 218	150 - 254
Base Stats - Total: 244	Base Stats - Total: 244	30	30	42	30	42	70
Max StatsHindering Nature	Lv. 100	170 - 264	58 - 143	80 - 164	58 - 143	80 - 164	130 - 215
Max StatsNeutral Nature	Lv. 100	170 - 264	65 - 159	89 - 183	65 - 159	89 - 183	145 - 239
Max StatsBeneficial Nature	Lv. 100	170 - 264	71 - 174	97 - 201	71 - 174	97 - 201	159 - 262
Base Stats - Total: 474	Base Stats - Total: 474	70	80	102	80	102	40
Max StatsHindering Nature	Lv. 100	250 - 344	148 - 233	188 - 272	148 - 233	188 - 272	76 - 161
Max StatsNeutral Nature	Lv. 100	250 - 344	165 - 259	209 - 303	165 - 259	209 - 303	85 - 179
Max StatsBeneficial Nature	Lv. 100	250 - 344	181 - 284	229 - 333	181 - 284	229 - 333	93 - 196
Base Stats - Total: 405	Base Stats - Total: 405	60	45	70	45	90	95
Max StatsHindering Nature	Lv. 100	230 - 324	85 - 170	130 - 215	85 - 170	166 - 251	175 - 260
Max StatsNeutral Nature	Lv. 100	230 - 324	95 - 189	145 - 239	95 - 189	185 - 279	195 - 289
Max StatsBeneficial Nature	Lv. 100	230 - 324	104 - 207	159 - 262	104 - 207	203 - 306	214 - 317
Base Stats - Total: 330	Base Stats - Total: 330	55	65	35	60	30	85
Max StatsHindering Nature	Lv. 100	220 - 314	121 - 206	67 - 152	112 - 197	58 - 143	157 - 242
Max StatsNeutral Nature	Lv. 100	220 - 314	135 - 229	75 - 169	125 - 219	65 - 159	175 - 269
Max StatsBeneficial Nature	Lv. 100	220 - 314	148 - 251	82 - 185	137 - 240	71 - 174	192 - 295
Base Stats - Total: 495	Base Stats - Total: 495	85	105	55	85	50	115
Max StatsHindering Nature	Lv. 100	280 - 374	193 - 278	103 - 188	157 - 242	94 - 179	211 - 296
Max StatsNeutral Nature	Lv. 100	280 - 374	215 - 309	115 - 209	175 - 269	105 - 199	235 - 329
Max StatsBeneficial Nature	Lv. 100	280 - 374	236 - 339	126 - 229	192 - 295	115 - 218	258 - 361
Base Stats - Total: 275	Base Stats - Total: 275	45	35	45	62	53	35
Max StatsHindering Nature	Lv. 100	200 - 294	67 - 152	85 - 170	116 - 200	99 - 184	67 - 152
Max StatsNeutral Nature	Lv. 100	200 - 294	75 - 169	95 - 189	129 - 223	111 - 205	75 - 169
Max StatsBeneficial Nature	Lv. 100	200 - 294	82 - 185	104 - 207	141 - 245	122 - 225	82 - 185
Base Stats - Total: 450	Base Stats - Total: 450	70	60	70	87	78	85
Max StatsHindering Nature	Lv. 100	250 - 344	112 - 197	130 - 215	161 - 245	144 - 229	157 - 242
Max StatsNeutral Nature	Lv. 100	250 - 344	125 - 219	145 - 239	179 - 273	161 - 255	175 - 269
Max StatsBeneficial Nature	Lv. 100	250 - 344	137 - 240	159 - 262	196 - 300	177 - 280	192 - 295
Base Stats - Total: 325	Base Stats - Total: 325	76	48	48	57	62	34
Max StatsHindering Nature	Lv. 100	262 - 356	90 - 175	90 - 175	107 - 191	116 - 200	65 - 150
Max StatsNeutral Nature	Lv. 100	262 - 356	101 - 195	101 - 195	119 - 213	129 - 223	73 - 167
Max StatsBeneficial Nature	Lv. 100	262 - 356	111 - 214	111 - 214	130 - 234	141 - 245	80 - 183
Base Stats - Total: 475	Base Stats - Total: 475	111	83	68	92	82	39
Max StatsHindering Nature	Lv. 100	332 - 426	153 - 238	126 - 211	170 - 254	152 - 236	74 - 159
Max StatsNeutral Nature	Lv. 100	332 - 426	171 - 265	141 - 235	189 - 283	169 - 263	83 - 177
Max StatsBeneficial Nature	Lv. 100	332 - 426	188 - 291	155 - 258	207 - 311	185 - 289	91 - 194
Base Stats - Total: 482	Base Stats - Total: 482	75	100	66	60	66	115
Max StatsHindering Nature	Lv. 100	260 - 354	184 - 269	123 - 207	112 - 197	123 - 207	211 - 296
Max StatsNeutral Nature	Lv. 100	260 - 354	205 - 299	137 - 231	125 - 219	137 - 231	235 - 329
Max StatsBeneficial Nature	Lv. 100	260 - 354	225 - 328	150 - 254	137 - 240	150 - 254	258 - 361
Base Stats - Total: 348	Base Stats - Total: 348	90	50	34	60	44	70
Max StatsHindering Nature	Lv. 100	290 - 384	94 - 179	65 - 150	112 - 197	83 - 168	130 - 215
Max StatsNeutral Nature	Lv. 100	290 - 384	105 - 199	73 - 167	125 - 219	93 - 187	145 - 239
Max StatsBeneficial Nature	Lv. 100	290 - 384	115 - 218	80 - 183	137 - 240	102 - 205	159 - 262
Base Stats - Total: 498	Base Stats - Total: 498	150	80	44	90	54	80
Max StatsHindering Nature	Lv. 100	410 - 504	148 - 233	83 - 168	166 - 251	101 - 186	148 - 233
Max StatsNeutral Nature	Lv. 100	410 - 504	165 - 259	93 - 187	185 - 279	113 - 207	165 - 259
Max StatsBeneficial Nature	Lv. 100	410 - 504	181 - 284	102 - 205	203 - 306	124 - 227	181 - 284
Base Stats - Total: 350	Base Stats - Total: 350	55	66	44	44	56	85
Max StatsHindering Nature	Lv. 100	220 - 314	123 - 207	83 - 168	83 - 168	105 - 189	157 - 242
Max StatsNeutral Nature	Lv. 100	220 - 314	137 - 231	93 - 187	93 - 187	117 - 211	175 - 269
Max StatsBeneficial Nature	Lv. 100	220 - 314	150 - 254	102 - 205	102 - 205	128 - 232	192 - 295
Base Stats - Total: 480	Base Stats - Total: 480	65	76	84	54	96	105
Max StatsHindering Nature	Lv. 100	240 - 334	141 - 225	155 - 240	101 - 186	177 - 261	193 - 278
Max StatsNeutral Nature	Lv. 100	240 - 334	157 - 251	173 - 267	113 - 207	197 - 291	215 - 309
Max StatsBeneficial Nature	Lv. 100	240 - 334	172 - 276	190 - 293	124 - 227	216 - 320	236 - 339
Base Stats - Total: 495	Base Stats - Total: 495	60	60	60	105	105	105
Max StatsHindering Nature	Lv. 100	230 - 324	112 - 197	112 - 197	193 - 278	193 - 278	193 - 278
Max StatsNeutral Nature	Lv. 100	230 - 324	125 - 219	125 - 219	215 - 309	215 - 309	215 - 309
Max StatsBeneficial Nature	Lv. 100	230 - 324	137 - 240	137 - 240	236 - 339	236 - 339	236 - 339
Base Stats - Total: 505	Base Stats - Total: 505	100	125	52	105	52	71
Max StatsHindering Nature	Lv. 100	310 - 404	229 - 314	98 - 182	193 - 278	98 - 182	132 - 216
Max StatsNeutral Nature	Lv. 100	310 - 404	255 - 349	109 - 203	215 - 309	109 - 203	147 - 241
Max StatsBeneficial Nature	Lv. 100	310 - 404	280 - 383	119 - 223	236 - 339	119 - 223	161 - 265
Base Stats - Total: 310	Base Stats - Total: 310	49	55	42	42	37	85
Max StatsHindering Nature	Lv. 100	208 - 302	103 - 188	80 - 164	80 - 164	71 - 155	157 - 242
Max StatsNeutral Nature	Lv. 100	208 - 302	115 - 209	89 - 183	89 - 183	79 - 173	175 - 269
Max StatsBeneficial Nature	Lv. 100	208 - 302	126 - 229	97 - 201	97 - 201	86 - 190	192 - 295
Base Stats - Total: 452	Base Stats - Total: 452	71	82	64	64	59	112
Max StatsHindering Nature	Lv. 100	252 - 346	152 - 236	119 - 204	119 - 204	110 - 195	206 - 290
Max StatsNeutral Nature	Lv. 100	252 - 346	169 - 263	133 - 227	133 - 227	123 - 217	229 - 323
Max StatsBeneficial Nature	Lv. 100	252 - 346	185 - 289	146 - 249	146 - 249	135 - 238	251 - 355
Base Stats - Total: 285	Base Stats - Total: 285	45	30	50	65	50	45
Max StatsHindering Nature	Lv. 100	200 - 294	58 - 143	94 - 179	121 - 206	94 - 179	85 - 170
Max StatsNeutral Nature	Lv. 100	200 - 294	65 - 159	105 - 199	135 - 229	105 - 199	95 - 189
Max StatsBeneficial Nature	Lv. 100	200 - 294	71 - 174	115 - 218	148 - 251	115 - 218	104 - 207
Base Stats - Total: 329	Base Stats - Total: 329	63	63	47	41	41	74
Max StatsHindering Nature	Lv. 100	236 - 330	117 - 202	89 - 173	78 - 162	78 - 162	137 - 222
Max StatsNeutral Nature	Lv. 100	236 - 330	131 - 225	99 - 193	87 - 181	87 - 181	153 - 247
Max StatsBeneficial Nature	Lv. 100	236 - 330	144 - 247	108 - 212	95 - 199	95 - 199	168 - 271
Base Stats - Total: 479	Base Stats - Total: 479	103	93	67	71	61	84
Max StatsHindering Nature	Lv. 100	316 - 410	171 - 256	125 - 209	132 - 216	114 - 198	155 - 240
Max StatsNeutral Nature	Lv. 100	316 - 410	191 - 285	139 - 233	147 - 241	127 - 221	173 - 267
Max StatsBeneficial Nature	Lv. 100	316 - 410	210 - 313	152 - 256	161 - 265	139 - 243	190 - 293
Base Stats - Total: 300	Base Stats - Total: 300	57	24	86	24	86	23
Max StatsHindering Nature	Lv. 100	224 - 318	47 - 132	159 - 243	47 - 132	159 - 243	45 - 130
Max StatsNeutral Nature	Lv. 100	224 - 318	53 - 147	177 - 271	53 - 147	177 - 271	51 - 145
Max StatsBeneficial Nature	Lv. 100	224 - 318	58 - 161	194 - 298	58 - 161	194 - 298	56 - 159
Base Stats - Total: 500	Base Stats - Total: 500	67	89	116	79	116	33
Max StatsHindering Nature	Lv. 100	244 - 338	164 - 249	213 - 297	146 - 231	213 - 297	63 - 148
Max StatsNeutral Nature	Lv. 100	244 - 338	183 - 277	237 - 331	163 - 257	237 - 331	71 - 165
Max StatsBeneficial Nature	Lv. 100	244 - 338	201 - 304	260 - 364	179 - 282	260 - 364	78 - 181
Base Stats - Total: 290	Base Stats - Total: 290	50	80	95	10	45	10
Max StatsHindering Nature	Lv. 100	210 - 304	148 - 233	175 - 260	22 - 107	85 - 170	22 - 107
Max StatsNeutral Nature	Lv. 100	210 - 304	165 - 259	195 - 289	25 - 119	95 - 189	25 - 119
Max StatsBeneficial Nature	Lv. 100	210 - 304	181 - 284	214 - 317	27 - 130	104 - 207	27 - 130
Base Stats - Total: 310	Base Stats - Total: 310	20	25	45	70	90	60
Max StatsHindering Nature	Lv. 100	150 - 244	49 - 134	85 - 170	130 - 215	166 - 251	112 - 197
Max StatsNeutral Nature	Lv. 100	150 - 244	55 - 149	95 - 189	145 - 239	185 - 279	125 - 219
Max StatsBeneficial Nature	Lv. 100	150 - 244	60 - 163	104 - 207	159 - 262	203 - 306	137 - 240
Base Stats - Total: 220	Base Stats - Total: 220	100	5	5	15	65	30
Max StatsHindering Nature	Lv. 100	310 - 404	13 - 98	13 - 98	31 - 116	121 - 206	58 - 143
Max StatsNeutral Nature	Lv. 100	310 - 404	15 - 109	15 - 109	35 - 129	135 - 229	65 - 159
Max StatsBeneficial Nature	Lv. 100	310 - 404	16 - 119	16 - 119	38 - 141	148 - 251	71 - 174
Base Stats - Total: 411	Base Stats - Total: 411	76	65	45	92	42	91
Max StatsHindering Nature	Lv. 100	262 - 356	121 - 206	85 - 170	170 - 254	80 - 164	168 - 252
Max StatsNeutral Nature	Lv. 100	262 - 356	135 - 229	95 - 189	189 - 283	89 - 183	187 - 281
Max StatsBeneficial Nature	Lv. 100	262 - 356	148 - 251	104 - 207	207 - 311	97 - 201	205 - 309
Base Stats - Total: 485	Base Stats - Total: 485	50	92	108	92	108	35
Max StatsHindering Nature	Lv. 100	210 - 304	170 - 254	198 - 283	170 - 254	198 - 283	67 - 152
Max StatsNeutral Nature	Lv. 100	210 - 304	189 - 283	221 - 315	189 - 283	221 - 315	75 - 169
Max StatsBeneficial Nature	Lv. 100	210 - 304	207 - 311	243 - 346	207 - 311	243 - 346	82 - 185
Base Stats - Total: 300	Base Stats - Total: 300	58	70	45	40	45	42
Max StatsHindering Nature	Lv. 100	226 - 320	130 - 215	85 - 170	76 - 161	85 - 170	80 - 164
Max StatsNeutral Nature	Lv. 100	226 - 320	145 - 239	95 - 189	85 - 179	95 - 189	89 - 183
Max StatsBeneficial Nature	Lv. 100	226 - 320	159 - 262	104 - 207	93 - 196	104 - 207	97 - 201
Base Stats - Total: 410	Base Stats - Total: 410	68	90	65	50	55	82
Max StatsHindering Nature	Lv. 100	246 - 340	166 - 251	121 - 206	94 - 179	103 - 188	152 - 236
Max StatsNeutral Nature	Lv. 100	246 - 340	185 - 279	135 - 229	105 - 199	115 - 209	169 - 263
Max StatsBeneficial Nature	Lv. 100	246 - 340	203 - 306	148 - 251	115 - 218	126 - 229	185 - 289
Base Stats - Total: 600	Base Stats - Total: 600	108	130	95	80	85	102
Max StatsHindering Nature	Lv. 100	326 - 420	238 - 323	175 - 260	148 - 233	157 - 242	188 - 272
Max StatsNeutral Nature	Lv. 100	326 - 420	265 - 359	195 - 289	165 - 259	175 - 269	209 - 303
